fecha,marca,zona,tipo_cristal,precio
2024-05-01,FIAT,Rosario,Aleta/Ventilete,31077.323600515167
2024-05-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,60149.65858164225
2024-05-01,FORD,CABA,Aleta/Ventilete,45144.22627041666
2024-05-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,42564.556197821425
2024-05-01,FORD,Rosario,Aleta/Ventilete,39984.886125226185
2024-05-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,77390.10217785712
2024-05-01,PEUGEOT,CABA,Aleta/Ventilete,132657.30585545112
2024-05-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,131972.50056030543
2024-05-01,PEUGEOT,Rosario,Aleta/Ventilete,131287.69526515974
2024-05-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,141217.37204477217
2024-05-01,RENAULT,CABA,Aleta/Ventilete,46271.18126603547
2024-05-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,43627.11376511916
2024-05-01,RENAULT,Rosario,Aleta/Ventilete,40983.04626420284
2024-05-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,79322.02502748936
2024-05-01,TOYOTA,CABA,Aleta/Ventilete,40383.57474413865
2024-05-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,38075.94190161645
2024-05-01,TOYOTA,Rosario,Aleta/Ventilete,35768.30905909424
2024-05-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,69228.98527566626
2024-05-01,VOLKSWAGEN,CABA,Aleta/Ventilete,43046.0861635637
2024-05-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,40586.30981136006
2024-05-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,38126.53345915642
2024-05-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,73793.29056610918
2024-07-01,CHEVROLET,CABA,Aleta/Ventilete,45076.819111753066
2024-07-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,42501.000876795755
2024-07-01,CHEVROLET,Rosario,Aleta/Ventilete,39925.18264183843
2024-07-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,77274.54704871954
2024-07-01,FIAT,CABA,Aleta/Ventilete,36556.55903718469
2024-07-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,34467.61280648843
2024-07-01,FIAT,Rosario,Aleta/Ventilete,32378.66657579216
2024-07-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,62668.38692088805
2024-07-01,FORD,CABA,Aleta/Ventilete,46498.55305852915
2024-07-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,43841.49288375606
2024-07-01,FORD,Rosario,Aleta/Ventilete,41184.43270898297
2024-07-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,79711.80524319284
2024-07-01,PEUGEOT,CABA,Aleta/Ventilete,137843.7571630187
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,137138.40770901862
2024-07-01,PEUGEOT,Rosario,Aleta/Ventilete,136433.05825501858
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,146660.62533801937
2024-07-01,RENAULT,CABA,Aleta/Ventilete,48082.66821274026
2024-07-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,45335.087172012245
2024-07-01,RENAULT,Rosario,Aleta/Ventilete,42587.50613128423
2024-07-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,82427.43122184044
2024-07-01,TOYOTA,CABA,Aleta/Ventilete,41742.59648646281
2024-07-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,39357.30525866494
2024-07-01,TOYOTA,Rosario,Aleta/Ventilete,36972.01403086706
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,71558.73683393624
2024-07-01,VOLKSWAGEN,CABA,Aleta/Ventilete,44337.46874847061
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,41803.89910570086
2024-07-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,39270.32946293111
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,76007.08928309247
2024-10-01,CHEVROLET,CABA,Aleta/Ventilete,45817.283184850014
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,43199.15271714431
2024-10-01,CHEVROLET,Rosario,Aleta/Ventilete,40581.02224943859
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,78543.91403117147
2024-10-01,FIAT,CABA,Aleta/Ventilete,36203.212459817325
2024-10-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,34134.45746211349
2024-10-01,FIAT,Rosario,Aleta/Ventilete,32065.70246440964
2024-10-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,62062.649931115426
2024-10-01,FORD,CABA,Aleta/Ventilete,46498.55305852915
2024-10-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,43841.49288375606
2024-10-01,FORD,Rosario,Aleta/Ventilete,41184.43270898297
2024-10-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,79711.80524319284
2024-10-01,PEUGEOT,CABA,Aleta/Ventilete,138847.75726318278
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,138142.40780918274
2024-10-01,PEUGEOT,Rosario,Aleta/Ventilete,137437.05835518267
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,147664.62543818346
2024-10-01,RENAULT,CABA,Aleta/Ventilete,48448.44391627756
2024-10-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,45679.96140677598
2024-10-01,RENAULT,Rosario,Aleta/Ventilete,42911.478897274406
2024-10-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,83054.47528504724
2024-10-01,TOYOTA,CABA,Aleta/Ventilete,41275.96146908914
2024-10-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,38917.335099426906
2024-10-01,TOYOTA,Rosario,Aleta/Ventilete,36558.708729764665
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,70758.7910898671
2024-10-01,VOLKSWAGEN,CABA,Aleta/Ventilete,44337.46874847061
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,41803.89910570086
2024-10-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,39270.32946293111
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,76007.08928309247
2025-01-01,CHEVROLET,CABA,Aleta/Ventilete,45817.283184850014
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,43199.15271714431
2025-01-01,CHEVROLET,Rosario,Aleta/Ventilete,40581.02224943859
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,78543.91403117147
2025-01-01,FIAT,CABA,Aleta/Ventilete,41065.59729561796
2025-01-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,38718.99173586837
2025-01-01,FIAT,Rosario,Aleta/Ventilete,36372.386176118765
2025-01-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,70398.16679248794
2025-01-01,FORD,CABA,Aleta/Ventilete,49166.94202545012
2025-01-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,46357.402481138684
2025-01-01,FORD,Rosario,Aleta/Ventilete,43547.862936827245
2025-01-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,84286.18632934307
2025-01-01,PEUGEOT,CABA,Aleta/Ventilete,138847.75726318278
2025-01-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,138142.40780918274
2025-01-01,PEUGEOT,Rosario,Aleta/Ventilete,137437.05835518267
2025-01-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,147664.62543818346
