fecha,marca,zona,tipo_cristal,precio_ipc
2024-05-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,46764.07893081697
2024-05-01,FIAT,Rosario,Aleta/Ventilete,43929.892333253796
2024-05-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,85025.59805603085
2024-05-01,FORD,CABA,Aleta/Ventilete,63814.407727834456
2024-05-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,60167.870143386775
2024-05-01,FORD,Rosario,Aleta/Ventilete,56521.332564477394
2024-05-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,109396.1275334305
2024-05-01,PEUGEOT,CABA,Aleta/Ventilete,187520.04637818478
2024-05-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,186552.02791981449
2024-05-01,PEUGEOT,Rosario,Aleta/Ventilete,185584.00947962893
2024-05-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,199620.27710781296
2024-05-01,RENAULT,CABA,Aleta/Ventilete,65407.43460020918
2024-05-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,61669.86690876866
2024-05-01,RENAULT,Rosario,Aleta/Ventilete,57932.29922300469
2024-05-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,112127.0307432157
2024-05-01,TOYOTA,CABA,Aleta/Ventilete,57084.905803750684
2024-05-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,53822.9111863935
2024-05-01,TOYOTA,Rosario,Aleta/Ventilete,50560.91657399059
2024-05-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,97859.83852071546
2024-05-01,VOLKSWAGEN,CABA,Aleta/Ventilete,60848.54521760295
2024-05-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,57371.48549088278
2024-05-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,53894.42576944353
2024-05-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,104311.79180160504
2024-07-01,CHEVROLET,CABA,Aleta/Ventilete,58569.409053060685
2024-07-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,55222.58567860007
2024-07-01,CHEVROLET,Rosario,Aleta/Ventilete,51875.76231626402
2024-07-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,100404.70123381831
2024-07-01,FIAT,CABA,Aleta/Ventilete,47498.82760167909
2024-07-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,44784.60888158316
2024-07-01,FIAT,Rosario,Aleta/Ventilete,42070.39017132002
2024-07-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,81426.56160287847
2024-07-01,FORD,CABA,Aleta/Ventilete,60416.70260070234
2024-07-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,56964.31959494791
2024-07-01,FORD,Rosario,Aleta/Ventilete,53511.936601700465
2024-07-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,103571.49017263256
2024-07-01,PEUGEOT,CABA,Aleta/Ventilete,179103.75128014715
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,178187.27355366288
2024-07-01,PEUGEOT,Rosario,Aleta/Ventilete,177270.79586861088
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,190559.72286120054
2024-07-01,RENAULT,CABA,Aleta/Ventilete,62474.982006445745
2024-07-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,58904.983034648845
2024-07-01,RENAULT,Rosario,Aleta/Ventilete,55334.984075784996
2024-07-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,107099.96915390699
2024-07-01,TOYOTA,CABA,Aleta/Ventilete,54237.17238102635
