fecha,marca,zona,tipo_cristal,precio_ipc,instalacion_ipc
2023-12-01,TOYOTA,CABA,Aleta/Ventilete,94655.11593342398,44135.28050355569
2023-12-01,TOYOTA,CABA,Custodia/Coleta,319428.3495778093,44135.280503555674
2023-12-01,TOYOTA,CABA,Luneta,451225.6669259885,72142.2647152396
2023-12-01,TOYOTA,CABA,Parabrisas,527052.9773787509,100289.67831097882
2023-12-01,TOYOTA,CABA,Puerta,157772.1597941329,29423.37658985821
2023-12-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,89246.25216579974,48217.793950134575
2023-12-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,301175.30103050586,48217.79395013458
2023-12-01,TOYOTA,CORD_TUC_STAFE,Luneta,425441.34310164634,78815.42420139925
2023-12-01,TOYOTA,CORD_TUC_STAFE,Parabrisas,496935.6643856795,109566.47355474436
2023-12-01,TOYOTA,CORD_TUC_STAFE,Puerta,148756.60780589675,32145.038924420085
2023-12-01,TOYOTA,Rosario,Aleta/Ventilete,83837.38839817552,48217.793950134575
2023-12-01,TOYOTA,Rosario,Custodia/Coleta,282922.2524832025,48217.79395013458
2023-12-01,TOYOTA,Rosario,Luneta,399657.0192773041,78815.42420139925
2023-12-01,TOYOTA,Rosario,Parabrisas,466818.351392608,109566.47355474436
2023-12-01,TOYOTA,Rosario,Puerta,139741.05581766058,32145.038924420085
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,162265.9130287268,86505.14978696914
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,547591.4564191017,86505.14978696912
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Luneta,773529.7147302659,141398.83884186958
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Parabrisas,903519.3897921444,196567.76948951854
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Puerta,270466.55964708497,57669.81811612208
2023-12-01,VOLKSWAGEN,CABA,Aleta/Ventilete,96753.63764016103,44135.28050355568
2023-12-01,VOLKSWAGEN,CABA,Custodia/Coleta,125413.0844940144,44135.28050355568
2023-12-01,VOLKSWAGEN,CABA,Luneta,319536.52185900527,71949.61341771457
2023-12-01,VOLKSWAGEN,CABA,Parabrisas,447111.5965656556,100988.86721668357
2023-12-01,VOLKSWAGEN,CABA,Puerta,126222.13747960638,29423.37658985821
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,91224.85834643756,48217.79395013458
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,118246.62252292788,48217.79395013458
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Luneta,301277.2920384907,78604.95265885317
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Parabrisas,421562.3624761896,110330.33743422679
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Puerta,119009.44390934317,32145.03892442009
2023-12-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,85696.07905271406,48217.79395013458
2023-12-01,VOLKSWAGEN,Rosario,Custodia/Coleta,111080.16055184131,48217.79395013458
2023-12-01,VOLKSWAGEN,Rosario,Luneta,283018.0622179761,78604.95265885317
2023-12-01,VOLKSWAGEN,Rosario,Parabrisas,396013.1283867235,110330.33743422679
2023-12-01,VOLKSWAGEN,Rosario,Puerta,111796.75033907994,32145.03892442009
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,165863.37881170464,86505.14978696914
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,214993.8591325961,86505.14978696914
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Luneta,547776.8946154376,141021.24229872058
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Parabrisas,766477.022683981,197938.17974469982
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Puerta,216380.80710789663,57669.81811612208
2024-02-01,CHEVROLET,CABA,Aleta/Ventilete,73359.80929968487,35221.78841642356
2024-02-01,CHEVROLET,CABA,Custodia/Coleta,190658.11247205635,35221.78841642356
2024-02-01,CHEVROLET,CABA,Luneta,211004.68842027313,57749.92261277834
2024-02-01,CHEVROLET,CABA,Parabrisas,315004.7300136848,80148.97119798296
2024-02-01,CHEVROLET,CABA,Puerta,103094.99896621861,23481.07756245583
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,69167.82019684573,38479.80384494274
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,179763.36318793887,38479.80384494274
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Luneta,198947.2776534004,63091.79045446035
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,297004.4597271886,87562.75103379639
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Puerta,97203.856168149,25653.077236983
2024-02-01,CHEVROLET,Rosario,Aleta/Ventilete,64975.8310940066,38479.80384494274
