coverable,fecha,provincia,prima_dev,prima_dev_ipc,sa,sa_ipc,pagos,pagos_ipc,rva,ar,cant_stros_total,cant_stros_nro_stro,coste_medio
AUT,2022-11-01,neuquen,54523838,455880164,45041574730,376597772389,59208028,341000585,19900399,787,416,331,190164
AUT,2022-11-01,rio_negro,64554132,539744494,57431633469,480192474638,44935562,273680605,14823999,1152,414,338,144346
AUT,2022-11-01,santa_cruz,75410014,630511794,76725179247,641508023795,47407811,294416747,334450,1462,394,322,121173
AUT,2022-12-01,buenos_aires,1187038263,9441141641,1194080024143,9497148432697,1112362078,6203512389,459502888,16194,7332,5590,214384
AUT,2022-12-01,catamarca,4160371,33089620,5892723082,46867935697,2192605,13594509,7180495,76,24,19,390545
AUT,2022-12-01,cordoba,547650879,4355756372,483561751279,3846021736720,583384554,2651346678,40831924,8427,3213,2439,194278
AUT,2022-12-01,entre_rios,111788698,889114503,108308262539,861432755729,80343035,468400355,6521944,2502,709,540,122517
AUT,2022-12-01,corrientes,54992681,437385818,57598495136,458111221016,43631291,221947539,8443182,1269,345,245,150940
AUT,2022-12-01,san_luis,37887547,301339647,42998930672,341993182071,33552849,177697783,12925000,935,239,200,194467
AUT,2022-12-01,santa_fe,842968696,6704574805,787491729188,6263337205737,827249583,4018826372,121413311,10748,5368,3887,176725
AUT,2022-12-01,jujuy,5109948,40642133,10881363353,86545223788,3740345,24034646,0,110,34,29,110010
AUT,2022-12-01,la_rioja,2631407,20928960,4305050818,34240340507,1151371,6513486,0,54,6,5,191895
AUT,2022-12-01,mendoza,134986484,1073618741,151505955889,1205006802266,304753268,931586822,95151556,2057,776,586,515341
AUT,2022-12-01,salta,14800560,117716653,21546095299,171367463708,13077816,73147377,0,366,93,74,140621
AUT,2022-12-01,san_juan,18105769,144004775,49476518305,393512854067,17962741,101538727,35969,353,118,91,152531
AUT,2022-12-01,chaco,72703287,578247568,79927688369,635707075775,63349731,310363862,6606567,1137,415,303,168569
AUT,2022-12-01,chubut,151287420,1203268661,295201107432,2347890156611,132426126,749562018,29696939,2711,1009,837,160676
AUT,2022-12-01,santiago_del_estero,29716534,236351324,33985405711,270303862438,67059064,124864119,56702652,564,160,120,773510
AUT,2022-12-01,tucuman,16231833,129100348,35449632230,281949628525,27120595,151289947,1875082,304,132,96,219664
AUT,2022-12-01,tierra_del_fuego,22847684,181719670,31733982858,252397108633,22103238,111549725,172652,279,141,102,157985
AUT,2022-12-01,formosa,11508594,91533920,10830116456,86137630187,4431486,25787884,135264,218,82,57,55692
AUT,2022-12-01,la_pampa,94802179,754011736,81618939375,649158487334,78008859,437534017,213775,1793,486,372,160951
AUT,2022-12-01,capital_federal,196041169,1559218802,422859589743,3363225419462,189147543,1001331593,24630453,1792,1065,795,200730
AUT,2022-12-01,misiones,50947354,405211239,69042781543,549133668902,48404754,270990241,8470473,871,242,182,235021
AUT,2022-12-01,neuquen,59624105,474221980,48688299274,387243732226,46650698,265413255,168785,814,390,307,120049
AUT,2022-12-01,rio_negro,70694704,562272341,59689074670,474738703036,47512627,280423009,31115363,1186,403,322,195106
AUT,2022-12-01,santa_cruz,83025804,660348075,82592899624,656904907062,45872047,275357749,47492240,1518,387,328,241251
AUT,2023-01-01,buenos_aires,1275397404,9567208993,1328350647213,9964430280200,1144381633,5830392984,161002842,16188,6450,4944,202385
AUT,2023-01-01,catamarca,4469462,33527017,6311694659,47346264724,389394,1947392,0,77,20,16,19469
AUT,2023-01-01,cordoba,593257577,4450235937,547192064591,4104682140122,472895478,2315837222,22473156,8435,3082,2410,160729
AUT,2023-01-01,entre_rios,121950751,914795910,123366102904,925412980271,133345646,521713678,13482729,2496,663,514,221460
AUT,2023-01-01,corrientes,59227890,444289452,67615632477,507208888769,32105469,172395569,1883968,1270,314,245,108246
AUT,2023-01-01,san_luis,41145970,308650526,49751255003,373201844638,155086090,769544153,259286,933,487,379,318984
AUT,2023-01-01,santa_fe,912963368,6848462649,875791139702,6569620581525,622227467,3102477140,90907775,10742,4765,3568,149661
AUT,2023-01-01,jujuy,5563120,41730932,11891052453,89199010355,4168606,21818681,0,113,49,39,85073
AUT,2023-01-01,la_rioja,2825899,21198063,4809371468,36076804562,1230444,8124174,0,56,19,15,64760
AUT,2023-01-01,mendoza,146922875,1102120648,167975332740,1260042666745,180996067,709960705,27672575,2086,810,647,257615
AUT,2023-01-01,salta,16055792,120440179,23043237897,172855516666,15307341,84589918,2907086,368,78,70,233518
AUT,2023-01-01,san_juan,19465158,146015093,51685975473,387714870464,33926632,75377411,6015291,351,89,75,448785
AUT,2023-01-01,chaco,78635493,589872799,88902842414,666891815616,116821409,648017391,118115075,1140,413,305,568853
AUT,2023-01-01,chubut,164590819,1234654255,266369140337,1998129585237,154563328,868435481,1725724,2728,1073,893,145656
AUT,2023-01-01,santiago_del_estero,32183052,241416481,37511903416,281390118665,24475644,141152381,38112060,564,187,146,334693
AUT,2023-01-01,tucuman,17464619,131008322,37407225646,280604893530,7364196,61772873,12486110,304,123,99,161384
AUT,2023-01-01,tierra_del_fuego,24828745,186249215,34735100726,260560334898,29128100,135151039,84300,280,143,102,204282
AUT,2023-01-01,formosa,12362730,92737208,12992408698,97460674945,14525100,49860506,0,218,67,57,216792
AUT,2023-01-01,la_pampa,102303983,767418506,97135095779,728644873716,90144009,455997839,18207107,1800,465,350,233013
AUT,2023-01-01,capital_federal,210074042,1575840051,394582253260,2959901710364,143749222,750939228,101272917,1801,861,656,284578
AUT,2023-01-01,misiones,54795887,411043429,73447742225,550957616589,32785178,156966992,78000,872,196,149,167669
AUT,2023-01-01,neuquen,64298879,482328780,54665512785,410065438687,64688970,330584899,14387840,817,363,292,217842
AUT,2023-01-01,rio_negro,76432545,573347702,72954088635,547254545667,49383406,268352152,296000,1190,435,351,114205
AUT,2023-01-01,santa_cruz,90370643,677902427,94420081910,708278589828,76196542,412692593,22626566,1524,422,356,234177
AUT,2023-02-01,buenos_aires,1256223939,8837647156,1351450625075,9507575763965,1117243697,5147143904,149150351,14462,5419,4101,233695
AUT,2023-02-01,catamarca,4544885,31973667,6458885589,45438836582,2294108,7727395,0,69,8,7,286763
AUT,2023-02-01,cordoba,582316304,4096647216,557775884496,3924003128445,499584459,1919697226,62260062,7552,2626,1961,213954
AUT,2023-02-01,entre_rios,122772274,863713866,150964878727,1062051395347,83869492,422818207,1196091,2249,624,483,136323
AUT,2023-02-01,corrientes,57909774,407400433,68875105554,484542514708,48350031,237983486,1485700,1127,276,208,180564
AUT,2023-02-01,san_luis,41191859,289788355,50930769501,358302509043,21945387,105201262,152610,829,191,162,115696
AUT,2023-02-01,santa_fe,901249863,6340372867,914444581093,6433199241526,681505372,2898632209,136371491,9604,4128,2988,198129
AUT,2023-02-01,jujuy,5727711,40294976,12184671318,85720250196,2452158,13056386,0,101,31,28,79101
AUT,2023-02-01,la_rioja,2862961,20141178,4791120306,33705958965,3136516,18310478,5971601,50,13,10,700624
AUT,2023-02-01,mendoza,146957908,1033861949,171147680044,1204039203959,208802664,709175601,65778140,1895,738,549,372060
AUT,2023-02-01,salta,16269363,114456413,24073200871,169357116659,10067044,52486522,0,328,61,56,165033
AUT,2023-02-01,san_juan,19309485,135843940,51250467433,360551612465,9355513,46616139,50000,307,82,68,114701
AUT,2023-02-01,chaco,77813740,547426513,92271812461,649140435829,45129656,223210369,28064378,1021,309,220,236873
AUT,2023-02-01,chubut,162312932,1141885926,269655404948,1897049840402,96120183,511617335,5212134,2432,751,610,134929
AUT,2023-02-01,santiago_del_estero,32132515,226055140,39005201278,274405072181,18470828,98865118,7269739,506,148,120,173922
AUT,2023-02-01,tucuman,17486364,123018116,54310321035,382077955656,12429331,64994377,0,273,103,78,120673
AUT,2023-02-01,tierra_del_fuego,24974961,175701078,38417827312,270272843894,62552267,290129779,0,250,134,85,466807
AUT,2023-02-01,formosa,12350299,86885416,12956187665,91147936565,16864405,53759863,0,193,56,43,301150
AUT,2023-02-01,la_pampa,100476775,706863035,99339900015,698865062609,86253313,461090730,18692766,1613,401,294,261710
AUT,2023-02-01,capital_federal,206138821,1450204977,398151575481,2801031868421,163600996,728051827,113908979,1630,756,556,367076
AUT,2023-02-01,misiones,53667308,377554291,76330446928,536991506530,66205937,320078948,14463105,781,164,123,491884
AUT,2023-02-01,neuquen,63606366,447476455,57254320589,402789255340,53780147,268942120,14742090,728,291,230,235471
AUT,2023-02-01,rio_negro,75531643,531371841,68209155413,479857495931,54943158,280482080,337900,1062,415,318,133207
AUT,2023-02-01,santa_cruz,88125671,619971954,97362017084,684950479688,80594560,393568025,634157,1360,352,303,230763
AUT,2023-03-01,buenos_aires,1487185371,9716701736,1484652236276,9700151122945,1425496093,6153725440,256803146,15724,6636,4928,253511
AUT,2023-03-01,catamarca,5222909,34124501,6853507238,44778200778,938766,4469637,0,75,18,15,52153
AUT,2023-03-01,cordoba,692546533,4524834870,602997989541,3939758741087,510587415,2277513041,82971284,8226,3068,2296,193467
AUT,2023-03-01,entre_rios,146599803,957827181,143711751259,938957737925,70552470,343378248,32975791,2444,672,516,154059
AUT,2023-03-01,corrientes,68102343,444954686,73158874959,477992169241,33337125,155801032,582703,1213,265,209,127999
AUT,2023-03-01,san_luis,48822416,318987071,56018176823,366001389055,38161323,188868708,70000,896,252,205,151711
AUT,2023-03-01,santa_fe,1073375953,7013028960,940431536883,6144420764541,905808244,3834643602,108661758,10484,5035,3628,201483
AUT,2023-03-01,jujuy,6803721,44452918,12752871901,83322398136,3079863,15347447,0,110,37,31,83239
AUT,2023-03-01,la_rioja,3475510,22707657,4855070088,31721175120,1727798,8655843,0,55,13,9,132907
