fecha,marca,zona,tipo_cristal,precio,instalacion
2024-07-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,46473.0375338374,25914.04847262649
2024-07-01,FORD,CORD_TUC_STAFE,Luneta,132797.36400827093,40321.74460967201
2024-07-01,FORD,CORD_TUC_STAFE,Parabrisas,218185.79484121472,57546.345848330864
2024-07-01,FORD,CORD_TUC_STAFE,Puerta,57231.60705065037,18532.38049026172
2024-07-01,FORD,Rosario,Aleta/Ventilete,41184.43270898297,25914.04847262649
2024-07-01,FORD,Rosario,Custodia/Coleta,43656.48980451392,25914.04847262649
2024-07-01,FORD,Rosario,Luneta,124749.03891686055,40321.74460967201
2024-07-01,FORD,Rosario,Parabrisas,204962.41333568658,57546.345848330864
2024-07-01,FORD,Rosario,Puerta,53763.0248051564,18532.38049026172
2024-07-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,79711.80524319284,46491.10755729787
2024-07-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,84496.43187970437,46491.10755729787
2024-07-01,FORD,TIERRA DEL FUEGO,Luneta,241449.75274231075,72339.23975739784
2024-07-01,FORD,TIERRA DEL FUEGO,Parabrisas,396701.445165845,103241.04152194827
2024-07-01,FORD,TIERRA DEL FUEGO,Puerta,104057.46736481882,33248.02357978305
2024-07-01,PEUGEOT,CABA,Aleta/Ventilete,137843.7571630187,23719.95283535606
2024-07-01,PEUGEOT,CABA,Custodia/Coleta,76474.40984851506,23719.95283535606
2024-07-01,PEUGEOT,CABA,Luneta,152346.19120583212,37780.384322503356
2024-07-01,PEUGEOT,CABA,Parabrisas,244847.31561950216,52534.95914707556
2024-07-01,PEUGEOT,CABA,Puerta,51948.41123446297,16963.277336624
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,137138.40770901862,25914.048472626488
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,72104.44357145707,25914.04847262649
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Luneta,143640.69456549888,41275.06987233492
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Parabrisas,230856.0404412449,57394.44286818005
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Puerta,48979.930592493656,18532.38049026172
2024-07-01,PEUGEOT,Rosario,Aleta/Ventilete,136433.05825501858,25914.048472626488
2024-07-01,PEUGEOT,Rosario,Custodia/Coleta,67734.47729439907,25914.04847262649
2024-07-01,PEUGEOT,Rosario,Luneta,134935.19792516562,41275.06987233492
2024-07-01,PEUGEOT,Rosario,Parabrisas,216864.76526298764,57394.44286818005
2024-07-01,PEUGEOT,Rosario,Puerta,46011.44995052435,18532.38049026172
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,146660.62533801937,46491.10755729787
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,131098.98831174013,46491.10755729787
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Luneta,261164.89920999794,74049.55327210658
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Parabrisas,419738.255347718,102968.5199282681
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Puerta,89054.41925907937,33248.02357978305
2024-07-01,RENAULT,CABA,Aleta/Ventilete,48082.66821274026,23719.95283535606
2024-07-01,RENAULT,CABA,Custodia/Coleta,110473.4097277224,23719.95283535606
2024-07-01,RENAULT,CABA,Luneta,122843.22886250241,34555.52521091854
2024-07-01,RENAULT,CABA,Parabrisas,186799.42085311885,51863.23433403085
2024-07-01,RENAULT,CABA,Puerta,54359.765361394435,16963.277336624
2024-07-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,45335.087172012245,25914.04847262649
2024-07-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,104160.64345756685,25914.04847262649
2024-07-01,RENAULT,CORD_TUC_STAFE,Luneta,115823.61578464514,37751.91129292851
2024-07-01,RENAULT,CORD_TUC_STAFE,Parabrisas,176125.16823294063,56660.58350992871
2024-07-01,RENAULT,CORD_TUC_STAFE,Puerta,51253.493055029045,18532.38049026172
2024-07-01,RENAULT,Rosario,Aleta/Ventilete,42587.50613128423,25914.04847262649
2024-07-01,RENAULT,Rosario,Custodia/Coleta,97847.87718741129,25914.04847262649
2024-07-01,RENAULT,Rosario,Luneta,108804.00270678785,37751.91129292851
2024-07-01,RENAULT,Rosario,Parabrisas,165450.9156127624,56660.58350992871
2024-07-01,RENAULT,Rosario,Puerta,48147.22074866365,18532.38049026172
2024-07-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,82427.43122184044,46491.10755729787
2024-07-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,189382.988104667,46491.10755729787
2024-07-01,RENAULT,TIERRA DEL FUEGO,Luneta,210588.3923357184,67728.82941340035
2024-07-01,RENAULT,TIERRA DEL FUEGO,Parabrisas,320227.57860534656,101651.93929470047
2024-07-01,RENAULT,TIERRA DEL FUEGO,Puerta,93188.1691909619,33248.02357978305
2024-07-01,TOYOTA,CABA,Aleta/Ventilete,41742.59648646281,23719.952835356056
2024-07-01,TOYOTA,CABA,Custodia/Coleta,146378.41855056986,23719.95283535606
