fecha,marca,zona,tipo_cristal,instalacion_ipc
2024-05-01,RENAULT,Rosario,Aleta/Ventilete,34234.81757035442
2024-05-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,61418.986207157664
2024-05-01,TOYOTA,CABA,Aleta/Ventilete,31336.217452631456
2024-05-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,34234.81756699988
2024-05-01,TOYOTA,Rosario,Aleta/Ventilete,34234.81757035442
2024-05-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,61418.986207157664
2024-05-01,VOLKSWAGEN,CABA,Aleta/Ventilete,31336.217452631452
2024-05-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,34234.81756699988
2024-05-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,34234.81757035442
2024-05-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,61418.98620715767
2024-07-01,CHEVROLET,CABA,Aleta/Ventilete,30819.912489589293
2024-07-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,33670.7543948763
2024-07-01,CHEVROLET,Rosario,Aleta/Ventilete,33670.75440274592
2024-07-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,60407.02847959501
2024-07-01,FIAT,CABA,Aleta/Ventilete,30819.912489589293
2024-07-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,33670.7543948763
2024-07-01,FIAT,Rosario,Aleta/Ventilete,33670.75440274592
2024-07-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,60407.028479595014
2024-07-01,FORD,CABA,Aleta/Ventilete,30819.912489589293
2024-07-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,33670.7543948763
2024-07-01,FORD,Rosario,Aleta/Ventilete,33670.75440274592
2024-07-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,60407.02847959501
2024-07-01,PEUGEOT,CABA,Aleta/Ventilete,30819.912489589293
2024-07-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,33670.7543948763
2024-07-01,PEUGEOT,Rosario,Aleta/Ventilete,33670.75440274592
2024-07-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,60407.028479595
2024-07-01,RENAULT,CABA,Aleta/Ventilete,30819.912489589293
2024-07-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,33670.7543948763
2024-07-01,RENAULT,Rosario,Aleta/Ventilete,33670.75440274592
2024-07-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,60407.02847959501
2024-07-01,TOYOTA,CABA,Aleta/Ventilete,30819.91248958929
2024-07-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,33670.7543948763
2024-07-01,TOYOTA,Rosario,Aleta/Ventilete,33670.75440274592
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,60407.02847959501
2024-07-01,VOLKSWAGEN,CABA,Aleta/Ventilete,30819.912489589293
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,33670.7543948763
2024-07-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,33670.75440274592
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,60407.028479595
2024-10-01,CHEVROLET,CABA,Aleta/Ventilete,31185.352176285116
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,34069.99725259149
2024-10-01,CHEVROLET,Rosario,Aleta/Ventilete,34069.997252607805
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,61123.29026551882
2024-10-01,FIAT,CABA,Aleta/Ventilete,31185.352176285116
2024-10-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,34069.99725259149
2024-10-01,FIAT,Rosario,Aleta/Ventilete,34069.997252607805
2024-10-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,61123.290265518815
