año,coverable,provincia,tipo_repuesto,cant_ord_compra,costo_pieza_prom,monto_total_compras
2025,AUT,jujuy,optica,5,1134262.0,5671310.0
2025,AUT,la_pampa,optica,120,786096.0,94331621.0
2025,AUT,la_rioja,optica,9,659248.0,5933236.0
2025,AUT,mendoza,optica,275,552194.0,151853576.0
2025,AUT,misiones,optica,114,829586.0,94572809.0
2025,AUT,neuquen,optica,355,505891.0,179591589.0
2025,AUT,rio_negro,optica,176,474966.0,83594089.0
2025,AUT,salta,optica,18,580891.0,10456038.0
2025,AUT,san_juan,optica,39,819135.0,31946284.0
2025,AUT,san_luis,optica,49,578898.0,28366039.0
2025,AUT,santa_cruz,optica,140,611494.0,85609263.0
2025,AUT,santa_fe,optica,2451,704389.0,1726459683.0
2025,AUT,santiago_del_estero,optica,28,946527.0,26502782.0
2025,AUT,tierra_del_fuego,optica,121,851705.0,103056329.0
2025,AUT,tucuman,optica,33,591488.0,19519129.0
2025,AUT,buenos_aires,paragolpe_del,3178,470993.0,1496816648.0
2025,AUT,capital_federal,paragolpe_del,657,620879.0,407917615.0
2025,AUT,catamarca,paragolpe_del,5,385298.0,1926493.0
2025,AUT,chaco,paragolpe_del,163,449847.0,73325072.0
2025,AUT,chubut,paragolpe_del,367,432113.0,158585544.0
2025,AUT,cordoba,paragolpe_del,1166,489813.0,571122820.0
2025,AUT,corrientes,paragolpe_del,125,429688.0,53711086.0
2025,AUT,entre_rios,paragolpe_del,254,444505.0,112904299.0
2025,AUT,formosa,paragolpe_del,21,472307.0,9918455.0
2025,AUT,jujuy,paragolpe_del,4,646109.0,2584439.0
2025,AUT,la_pampa,paragolpe_del,135,462488.0,62435951.0
2025,AUT,la_rioja,paragolpe_del,8,682062.0,5456499.0
2025,AUT,mendoza,paragolpe_del,263,429482.0,112953978.0
2025,AUT,misiones,paragolpe_del,110,462669.0,50893680.0
2025,AUT,neuquen,paragolpe_del,319,464594.0,148205586.0
2025,AUT,rio_negro,paragolpe_del,161,437239.0,70395535.0
2025,AUT,salta,paragolpe_del,22,573171.0,12609773.0
2025,AUT,san_juan,paragolpe_del,42,522281.0,21935839.0
2025,AUT,san_luis,paragolpe_del,44,425988.0,18743497.0
2025,AUT,santa_cruz,paragolpe_del,162,458083.0,74209468.0
2025,AUT,santa_fe,paragolpe_del,1837,482861.0,887016757.0
2025,AUT,santiago_del_estero,paragolpe_del,21,473436.0,9942159.0
2025,AUT,tierra_del_fuego,paragolpe_del,100,664440.0,66444086.0
2025,AUT,tucuman,paragolpe_del,21,507576.0,10659104.0
2025,AUT,buenos_aires,paragolpe_tras,1769,518543.0,917302774.0
2025,AUT,capital_federal,paragolpe_tras,492,661295.0,325357522.0
2025,AUT,catamarca,paragolpe_tras,0,0.0,0.0
2025,AUT,chaco,paragolpe_tras,96,475448.0,45643057.0
2025,AUT,chubut,paragolpe_tras,256,499570.0,127889982.0
2025,AUT,cordoba,paragolpe_tras,639,507559.0,324330729.0
2025,AUT,corrientes,paragolpe_tras,72,440783.0,31736432.0
2025,AUT,entre_rios,paragolpe_tras,136,517864.0,70429619.0
2025,AUT,formosa,paragolpe_tras,7,468363.0,3278545.0
2025,AUT,jujuy,paragolpe_tras,5,598638.0,2993190.0
2025,AUT,la_pampa,paragolpe_tras,46,603191.0,27746821.0
2025,AUT,la_rioja,paragolpe_tras,4,538099.0,2152397.0
2025,AUT,mendoza,paragolpe_tras,173,526335.0,91055992.0
2025,AUT,misiones,paragolpe_tras,43,493459.0,21218742.0
2025,AUT,neuquen,paragolpe_tras,157,507608.0,79694525.0
2025,AUT,rio_negro,paragolpe_tras,89,406673.0,36193910.0
2025,AUT,salta,paragolpe_tras,13,652743.0,8485670.0
2025,AUT,san_juan,paragolpe_tras,19,463097.0,8798844.0
2025,AUT,san_luis,paragolpe_tras,31,493534.0,15299566.0
