año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,var_costo_prom_%,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva,ipc_empalme_ipim,var_ipc,var_ipc_%
2025,2025-01-01,3481,16899,"24,3 %",4.85,255408,-0.01,"-0,7 %",4316148442,1.29,5555015712,328717,-0.03,1216,3547172,209,"-9,8 %",auto,7864,0.02,"2,21%"
2025,2025-02-01,3119,14965,"-11,4 %",4.8,252197,-0.01,"-1,3 %",3774128294,1.26,4743497973,316972,-0.04,1212,3112099,207,"-0,9 %",auto,8052,0.02,"2,40%"
2025,2025-03-01,3134,14525,"-2,9 %",4.63,250686,-0.01,"-0,6 %",3641216895,1.21,4411913758,303745,-0.04,1251,2908866,200,"-3,7 %",auto,8353,0.04,"3,73%"
2025,2025-04-01,3838,16990,"17,0 %",4.43,260828,0.04,"4,0 %",4431471668,1.18,5224157926,307484,0.01,1263,3506219,206,"3,0 %",auto,8585,0.03,"2,78%"
2025,2025-05-01,3872,17888,"5,3 %",4.62,259068,-0.01,"-0,7 %",4634211759,1.16,5382368266,300892,-0.02,1162,3987643,222,"8,0 %",auto,8714,0.02,"1,50%"
2025,2025-06-01,3400,16247,"-9,2 %",4.78,258973,0.0,"0,0 %",4207550500,1.14,4808972302,295990,-0.02,1181,3560162,219,"-1,7 %",auto,8855,0.02,"1,62%"
2025,2025-07-01,3490,17117,"5,4 %",4.9,267697,0.03,"3,4 %",4582177912,1.12,5139413086,300251,0.01,1282,3572215,208,"-4,8 %",auto,9023,0.02,"1,90%"
2025,2025-08-01,3491,16339,"-4,5 %",4.68,269088,0.01,"0,5 %",4396635464,1.1,4840509008,296254,-0.01,1329,3308109,214,"2,7 %",auto,9193,0.02,"1,88%"
2025,2025-09-01,3558,16610,"1,7 %",4.67,284774,0.06,"5,8 %",4730111647,1.08,5101741990,307147,0.04,1406,3362195,233,"8,9 %",auto,9384,0.02,"2,08%"
2025,2025-10-01,3643,16980,"2,23%",4.66,324101,0.14,"13,81%",5503235140,1.05,5799779876,341565,0.11,1462,3762589,221,"-5,02%",auto,9603,0.02,"2,34%"
2025,2025-11-01,3097,14487,-0.1468197879858657,4.68,287739,-0.11,"-11,22%",4168474855,1.03,4287079300,295925,-0.13,1427,2921774,202,"-8,98%",auto,9841,0.02,"2,47%"
2025,2025-12-01,2904,13280,-0.0833160764823635,4.57,303310,0.05,"5,41%",4027959332,1.0,4027959332,303310,0.02,1447,2784003,210,"3,94%",auto,10121,0.03,"2,85%"
2023,2023-01-01,20,268,-,13.4,88674,,-,23764796,8.41,199947238,746066,,366,64898,242,-,camion,1202,,-
2023,2023-02-01,17,83,"-69,0 %",4.88,104515,0.18,"17,9 %",8674756,7.89,68449212,824688,0.11,375,23074,278,"14,8 %",camion,1282,0.07,"6,63%"
2023,2023-03-01,38,327,"294,0 %",8.61,101630,-0.03,"-2,8 %",33233302,7.33,243539178,744761,-0.1,380,87411,267,"-3,8 %",camion,1381,0.08,"7,68%"
2023,2023-04-01,39,294,"-10,1 %",7.54,227918,1.24,"124,3 %",67008033,6.76,452983259,1540756,1.07,419,159621,542,"103,1 %",camion,1497,0.08,"8,40%"
2023,2023-05-01,25,334,"13,6 %",13.36,123260,-0.46,"-45,9 %",41169041,6.27,258236161,773158,-0.5,477,86176,258,"-52,5 %",camion,1613,0.08,"7,77%"
2023,2023-06-01,26,343,"2,7 %",13.19,130548,0.06,"5,9 %",44778225,5.92,265099439,772880,-0.0,487,91770,267,"3,7 %",camion,1709,0.06,"5,95%"
2023,2023-07-01,20,153,"-55,4 %",7.65,141985,0.09,"8,8 %",21723804,5.57,120937599,790438,0.02,516,42053,274,"2,7 %",camion,1818,0.06,"6,34%"
2023,2023-08-01,46,556,"263,4 %",12.09,198241,0.4,"39,6 %",110222498,4.95,545718347,981503,0.24,646,170375,306,"11,5 %",camion,2044,0.12,"12,44%"
2023,2023-09-01,47,335,"-39,7 %",7.13,273188,0.38,"37,8 %",91518028,4.39,401873502,1199621,0.22,733,124705,372,"21,5 %",camion,2304,0.13,"12,75%"
2023,2023-10-01,44,263,"-21,5 %",5.98,229202,-0.16,"-16,1 %",60280385,4.05,244412438,929320,-0.23,912,66041,251,"-32,5 %",camion,2496,0.08,"8,30%"
2023,2023-11-01,58,405,"54,0 %",6.98,304415,0.33,"32,8 %",123288258,3.59,443117341,1094115,0.18,931,132319,326,"30,1 %",camion,2816,0.13,"12,81%"
2023,2023-12-01,28,136,"-66,4 %",4.86,506551,0.66,"66,4 %",68890939,2.86,197348671,1451093,0.33,965,71350,524,"60,6 %",camion,3533,0.25,"25,47%"
2024,2024-01-01,47,676,"397,1 %",14.38,401490,-0.21,"-20,7 %",271407319,2.38,644607161,953560,-0.34,1141,237701,351,"-33,0 %",camion,4261,0.21,"20,61%"
2024,2024-02-01,32,537,"-20,6 %",16.78,380230,-0.05,"-5,3 %",204183664,2.1,428244811,797475,-0.16,1081,188822,351,"0,0 %",camion,4825,0.13,"13,24%"
2024,2024-03-01,47,476,"-11,4 %",10.13,492012,0.29,"29,4 %",234197994,1.89,442479707,929578,0.17,1001,233822,491,"39,7 %",camion,5357,0.11,"11,01%"
2024,2024-04-01,34,273,"-42,6 %",8.03,394722,-0.2,"-19,8 %",107759355,1.74,187072037,685243,-0.26,1004,107249,392,"-20,0 %",camion,5830,0.09,"8,83%"
2024,2024-05-01,40,333,"22,0 %",8.32,452833,0.15,"14,7 %",150793712,1.67,251285877,754610,0.1,1119,134687,404,"3,0 %",camion,6073,0.04,"4,18%"
2024,2024-06-01,31,362,"8,7 %",11.68,512015,0.13,"13,1 %",185349644,1.59,295352161,815889,0.08,1278,144961,400,"-1,0 %",camion,6351,0.05,"4,58%"
2024,2024-07-01,43,707,"95,3 %",16.44,469738,-0.08,"-8,3 %",332104865,1.53,508699297,719517,-0.12,1416,234533,331,"-17,2 %",camion,6607,0.04,"4,03%"
2024,2024-08-01,45,619,"-12,4 %",13.76,708014,0.51,"50,7 %",438260888,1.47,644416234,1041059,0.45,1340,326894,528,"59,2 %",camion,6883,0.04,"4,17%"
2024,2024-09-01,41,385,"-37,8 %",9.39,491453,-0.31,"-30,6 %",189209464,1.42,268884327,698400,-0.33,1243,152187,395,"-25,1 %",camion,7122,0.03,"3,47%"
2024,2024-10-01,27,405,"5,2 %",15.0,519416,0.06,"5,7 %",210363663,1.38,291110488,718790,0.03,1201,175157,432,"9,4 %",camion,7313,0.03,"2,69%"
2024,2024-11-01,28,358,"-11,6 %",12.79,493978,-0.05,"-4,9 %",176844256,1.35,238927157,667393,-0.07,1124,157328,439,"1,6 %",camion,7491,0.02,"2,43%"
2024,2024-12-01,26,380,"6,1 %",14.62,521670,0.06,"5,6 %",198234699,1.32,260775289,686250,0.03,1105,179365,472,"7,4 %",camion,7694,0.03,"2,70%"
2025,2025-01-01,46,444,"16,8 %",9.65,648830,0.24,"24,4 %",288080698,1.29,370768713,835064,0.22,1216,236755,533,"13,0 %",camion,7864,0.02,"2,21%"
