nro_siniestro_gw,año_mes_fecha_pago,segmento,cobertura_principal,monto_transaccion,ipc_x_fecha_de_pago,pago_ipc,usd_blue_fp,pago_usd,marca_vehiculo,modelo_vehiculo,provincia,tv
4-3154123,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),394150,1.58,621134,1416,278,TOYOTA,HILUX,CHACO,Autos particulares
4-3142527,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),785123,1.71,1346049,1119,701,NISSAN,PICK-UP,CHACO,Autos particulares
4-3207299,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),176859,1.42,251798,1201,147,FORD,KA,CHACO,Autos particulares
4-3242914,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),197796,1.32,261905,1216,162,FORD,ECO SPORT,CHACO,Autos particulares
4-3244890,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),382644,1.25,476995,1251,305,CITROEN,C 3,CHACO,Autos particulares
4-3245074,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),384297,1.29,496921,1212,316,NISSAN,PICK-UP,CHACO,Autos particulares
4-3281682,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),372371,1.18,437861,1181,315,CITROEN,C 4 CACTUS,CHACO,Autos particulares
4-3299937,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),355371,1.18,417871,1181,300,CHEVROLET,PICK-UP S-10,CHACO,Autos particulares
4-3334961,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),129000,1.13,146116,1329,97,PEUGEOT,PARTNER,CHACO,Autos particulares
4-3185002,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Camiones),646198,1.51,977546,1340,481,FANGIO,FANGIO,CHACO,Camiones
4-3277002,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Transporte público),596360,1.21,723293,1263,471,TOYOTA,HILUX,CHACO,Transporte público
4-3364653,2025-09-03,Ruedas,Robo y Hurto de Ruedas (Transporte público),199091,1.11,220920,1406,141,TOYOTA,ETIOS,CHACO,Transporte público
4-3258027,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),673553,1.21,816917,1263,532,FORD,RANGER,CHACO,Autos particulares
4-3109632,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),987540,2.16,2130902,1081,913,VOLKSWAGEN,AMAROK,CHUBUT,Autos particulares
4-3271245,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),300000,1.21,363854,1263,237,RENAULT,DUSTER,CHUBUT,Autos particulares
4-3125924,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),418925,1.51,633736,1340,312,CITROEN,BERLINGO,CHUBUT,Autos particulares
4-3130153,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),920012,1.79,1643181,1004,915,FIAT,FIORINO,CHUBUT,Autos particulares
4-3138333,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),200000,1.79,357208,1004,199,CHEVROLET,PRISMA,CHUBUT,Autos particulares
4-3144004,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),488000,1.71,836647,1119,435,TOYOTA,HILUX,CHUBUT,Autos particulares
4-3150762,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),502747,1.64,824207,1278,393,PEUGEOT,308,CHUBUT,Autos particulares
4-3178749,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),702479,1.51,1062685,1340,523,FORD,ECO SPORT,CHUBUT,Autos particulares
4-3226709,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),152632,1.32,202103,1216,125,VOLKSWAGEN,GOL,CHUBUT,Autos particulares
4-3227991,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),147934,1.32,195882,1216,121,VOLKSWAGEN,GOL,CHUBUT,Autos particulares
4-3251575,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),427853,1.29,553241,1212,352,FORD,ECO SPORT,CHUBUT,Autos particulares
4-3250978,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),164823,1.29,213126,1212,135,PEUGEOT,206,CHUBUT,Autos particulares
4-3331861,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),184958,1.13,209499,1329,139,PEUGEOT,206,CHUBUT,Autos particulares
4-3112521,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),400826,2.44,979417,1141,351,TOYOTA,HILUX,CHUBUT,Autos particulares
4-3348392,2025-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),110970,1.06,117416,1428,77,TOYOTA,HILUX,CHUBUT,Autos particulares
4-3289004,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),373186,1.18,438820,1181,315,CHEVROLET,PICK-UP S-10,CHUBUT,Autos particulares
4-3102665,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),163500,2.16,352798,1081,151,CHEVROLET,AVEO,CHUBUT,Autos particulares
4-3276195,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),149872,1.21,181771,1263,118,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3108774,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),188000,2.44,459376,1141,164,PEUGEOT,PARTNER,SANTA FE,Autos particulares
4-3123731,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1428626,2.16,3082673,1081,1321,FORD,RANGER,SANTA FE,Autos particulares
4-3117728,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),311545,2.16,672248,1081,288,VOLKSWAGEN,BORA,SANTA FE,Autos particulares
4-3265713,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),307438,1.25,383244,1251,245,PEUGEOT,207,SANTA FE,Autos particulares
4-3267123,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),156528,1.18,184058,1181,132,TOYOTA,ETIOS,SANTA FE,Autos particulares
4-3303374,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),401776,1.18,472438,1181,339,CITROEN,C 4,SANTA FE,Autos particulares
4-3210755,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Camiones),768595,1.35,1040212,1105,695,OMBU,OMBU,SANTA FE,Camiones
4-3312231,2025-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),239669,1.11,265948,1406,170,RENAULT,KWID,SANTA FE,Autos particulares
4-3277177,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Camiones),735537,1.21,892094,1263,581,MERCEDES BENZ CAMION,ATEGO,SANTA FE,Camiones
4-3118199,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),164545,1.46,240572,1243,132,CHEVROLET,PRISMA,SANTA FE,Autos particulares
4-3133245,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),351239,1.79,627328,1004,349,VOLKSWAGEN,UP,SANTA FE,Autos particulares
4-3137951,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),367768,1.79,656850,1004,366,CHEVROLET,PICK-UP S-10,SANTA FE,Autos particulares
4-3160813,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1019769,1.58,1607037,1416,720,CHEVROLET,CORSA,SANTA FE,Autos particulares
4-3326594,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),556400,1.15,642046,1282,433,CHEVROLET,CRUZE,SANTA FE,Autos particulares
4-3211589,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),368000,1.39,511517,1124,327,FORD,ECO SPORT,SANTA FE,Autos particulares
4-3218833,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),339000,1.35,458800,1105,306,FORD,RANGER,SANTA FE,Autos particulares
4-3217219,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),872753,1.35,1181179,1105,789,FORD,RANGER,SANTA FE,Autos particulares
4-3162199,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),235537,1.64,386140,1278,184,RENAULT,KANGOO,SANTA FE,Autos particulares
4-3280046,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),328638,1.25,409671,1251,262,FIAT,PUNTO,SANTA FE,Autos particulares
4-3280151,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),567870,1.19,678553,1162,488,TOYOTA,HILUX,SANTA FE,Autos particulares
4-3284072,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),347107,1.19,414762,1162,298,VOLKSWAGEN,AMAROK,SANTA FE,Autos particulares
4-3322099,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),250000,1.15,288482,1282,194,TOYOTA,COROLLA,SANTA FE,Autos particulares
4-3336572,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),234496,1.13,265610,1329,176,RENAULT,SANDERO,SANTA FE,Autos particulares
4-3163058,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),219008,1.58,345131,1416,154,CHEVROLET,CELTA,SANTA FE,Autos particulares
4-3165061,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),362546,1.58,571329,1416,256,RENAULT,OROCH,SANTA FE,Autos particulares
4-3272525,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),405484,1.25,505466,1251,323,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3251256,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),121829,1.29,157532,1212,100,FORD,FIESTA,SANTA FE,Autos particulares
4-3307036,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),201652,1.15,232693,1282,157,FORD,FIESTA,SANTA FE,Autos particulares
4-3308758,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),320000,1.15,369257,1282,249,TOYOTA,HILUX,SANTA FE,Autos particulares
4-3127420,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),515702,1.79,921066,1004,513,PEUGEOT,2008,SANTA FE,Autos particulares
4-3287369,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),409090,1.21,496164,1263,323,TOYOTA,HILUX,SANTA FE,Autos particulares
4-3123813,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),536446,2.16,1157537,1081,496,FORD,RANGER,SANTA FE,Autos particulares
4-3258104,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),471602,1.25,587887,1251,376,CHEVROLET,ONIX,SANTA FE,Autos particulares
4-3148525,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),153153,1.79,273537,1004,152,CHEVROLET,CORSA,SANTA FE,Autos particulares
4-3148539,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),340000,1.58,535799,1416,240,RENAULT,OROCH,SANTA FE,Autos particulares
4-3103143,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),123685,2.44,302223,1141,108,FIAT,FIORINO,SANTA FE,Autos particulares
4-3119497,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),406236,2.16,876571,1081,375,CHEVROLET,CRUZE,SANTA FE,Autos particulares
4-3100415,2023-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),148834,2.95,438645,965,154,RENAULT,CLIO,SANTA FE,Autos particulares
4-3198577,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),188842,1.39,262490,1124,168,FIAT,PALIO,SANTA FE,Autos particulares
4-3143658,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),528000,1.71,905225,1119,471,CHEVROLET,CRUZE,SANTA FE,Autos particulares
4-3101077,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),428099,2.44,1046057,1141,374,CITROEN,C 4,SANTA FE,Autos particulares
4-3101580,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),171900,1.42,244738,1201,143,CHEVROLET,CORSA,SANTA FE,Autos particulares
4-3103431,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),518181,2.44,1266174,1141,453,RENAULT,SANDERO II,SANTA FE,Autos particulares
4-3111510,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),389121,2.16,839640,1081,359,FORD,FIESTA,SANTA FE,Autos particulares
4-3105051,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),330105,2.44,806609,1141,289,FIAT,PUNTO,SANTA FE,Autos particulares
4-3104564,2023-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),149252,2.95,439875,965,154,CITROEN,BERLINGO,SANTA FE,Autos particulares
4-3104944,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),621074,2.44,1517591,1141,543,PEUGEOT,208,SANTA FE,Autos particulares
4-3104949,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),184297,1.79,329163,1004,183,RENAULT,CLIO,SANTA FE,Autos particulares
4-3105749,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),230200,2.44,562492,1141,201,TOYOTA,COROLLA,SANTA FE,Autos particulares
4-3192545,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),286428,1.42,407793,1201,238,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3108408,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),181818,2.16,392325,1081,168,FORD,KA,SANTA FE,Autos particulares
4-3107771,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),145000,2.44,354306,1141,126,FORD,KA,SANTA FE,Autos particulares
4-3111540,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),466391,2.16,1006373,1081,431,VOLKSWAGEN,VENTO,SANTA FE,Autos particulares
4-3106968,2023-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),144000,2.95,424397,965,149,FORD,KA,SANTA FE,Autos particulares
4-3108016,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),353884,2.16,763607,1081,327,FIAT,STRADA,SANTA FE,Autos particulares
4-3107380,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),190900,2.44,466463,1141,167,PEUGEOT,208,SANTA FE,Autos particulares
4-3110102,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),388429,2.44,949125,1141,340,FORD,RANGER,SANTA FE,Autos particulares
4-3111644,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),336983,1.94,655023,1001,336,VOLKSWAGEN,VENTO,SANTA FE,Autos particulares
4-3111869,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),345454,2.44,844116,1141,302,FIAT,PALIO,SANTA FE,Autos particulares
4-3109694,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),232544,1.79,415333,1004,231,PEUGEOT,PARTNER,SANTA FE,Autos particulares
4-3102966,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),700323,2.44,1711235,1141,613,NISSAN,SENTRA,SANTA FE,Autos particulares
4-3113465,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),727000,2.16,1568712,1081,672,MERCEDES BENZ,SPRINTER,SANTA FE,Autos particulares
4-3116296,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),186340,2.16,402082,1081,172,PEUGEOT,207,SANTA FE,Autos particulares
4-3102520,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),389256,2.44,951145,1141,340,CHEVROLET,ASTRA,SANTA FE,Autos particulares
4-3115439,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),169000,2.16,364666,1081,156,RENAULT,KWID,SANTA FE,Autos particulares
4-3115515,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),476859,2.16,1028962,1081,440,FORD,ECO SPORT,SANTA FE,Autos particulares
4-3112797,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),143000,2.16,308563,1081,132,RENAULT,KANGOO,SANTA FE,Autos particulares
4-3115949,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),154380,2.16,333119,1081,142,FORD,KA,SANTA FE,Autos particulares
4-3117008,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),163636,2.44,399844,1141,143,RENAULT,KANGOO,SANTA FE,Autos particulares
4-3117424,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),594718,2.16,1283275,1081,549,TOYOTA,HILUX,SANTA FE,Autos particulares
4-3148335,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),265000,1.71,454326,1119,236,CITROEN,PICASSO,SANTA FE,Autos particulares
4-3137525,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),190000,1.79,339347,1004,189,CHEVROLET,CLASSIC,SANTA FE,Autos particulares
4-3123928,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),190082,1.94,369479,1001,189,RENAULT,CLIO,SANTA FE,Autos particulares
4-3123225,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),170804,2.16,368558,1081,157,RENAULT,KANGOO,SANTA FE,Autos particulares
4-3124026,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),140987,2.16,304220,1081,130,CHEVROLET,CORSA,SANTA FE,Autos particulares
4-3122800,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),210743,2.16,454740,1081,194,FIAT,STRADA,SANTA FE,Autos particulares
4-3122036,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),488890,1.94,950296,1001,488,FORD,FIESTA,SANTA FE,Autos particulares
4-3121506,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),172000,1.94,334330,1001,171,PEUGEOT,206,SANTA FE,Autos particulares
4-3106779,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),260506,2.16,562116,1081,240,FIAT,PALIO,SANTA FE,Autos particulares
4-3149156,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),179000,1.71,306885,1119,159,VOLKSWAGEN,VOYAGE,SANTA FE,Autos particulares
4-3124988,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),620795,1.79,1108766,1004,617,TOYOTA,HILUX,SANTA FE,Autos particulares
4-3141010,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),503426,1.71,863094,1119,449,FORD,FOCUS,SANTA FE,Autos particulares
4-3124973,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),260330,1.79,464961,1004,259,PEUGEOT,2008,SANTA FE,Autos particulares
4-3127426,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),230702,1.79,412043,1004,229,FORD,KA,SANTA FE,Autos particulares
4-3132372,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),189256,1.79,338019,1004,188,VOLKSWAGEN,FOX,SANTA FE,Autos particulares
4-3130640,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),205000,1.79,366138,1004,204,RENAULT,KWID,SANTA FE,Autos particulares
4-3130972,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),190029,1.46,277830,1243,152,FIAT,STRADA,SANTA FE,Autos particulares
4-3134902,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),126239,1.42,179730,1201,105,FIAT,UNO,SANTA FE,Autos particulares
4-3133656,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),460000,1.79,821579,1004,457,FORD,FIESTA,SANTA FE,Autos particulares
4-3135636,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),498975,1.79,891190,1004,496,PEUGEOT,5008,SANTA FE,Autos particulares
4-3135742,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),134711,1.39,187247,1124,119,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3139188,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),482500,1.71,827217,1119,430,CITROEN,C 4,SANTA FE,Autos particulares
4-3136566,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),190082,1.79,339495,1004,189,FORD,FIESTA,SANTA FE,Autos particulares
4-3136579,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),351900,1.79,628509,1004,350,TOYOTA,COROLLA,SANTA FE,Autos particulares
4-3138567,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),395990,1.58,624033,1416,279,FIAT,TORO,SANTA FE,Autos particulares
4-3137320,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),264462,1.79,472341,1004,263,RENAULT,SANDERO,SANTA FE,Autos particulares
4-3136321,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),367000,1.79,655477,1004,365,RENAULT,SANDERO,SANTA FE,Autos particulares
4-3140055,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),181198,1.71,310653,1119,161,FORD,KA,SANTA FE,Autos particulares
4-3155843,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),560650,1.64,919132,1278,438,VOLKSWAGEN,VENTO,SANTA FE,Autos particulares
4-3141266,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),160867,1.71,275797,1119,143,FORD,KA,SANTA FE,Autos particulares
4-3142382,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),336662,1.71,577187,1119,300,VOLKSWAGEN,FOX,SANTA FE,Autos particulares
4-3192552,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),145454,1.51,220038,1340,108,RENAULT,CLIO,SANTA FE,Autos particulares
4-3141752,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),179000,1.64,293453,1278,139,PEUGEOT,PARTNER,SANTA FE,Autos particulares
4-3144476,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),165000,1.71,282882,1119,147,FORD,KA,SANTA FE,Autos particulares
4-3144777,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),442729,1.58,697688,1416,312,CITROEN,C 3,SANTA FE,Autos particulares
4-3145444,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),123966,1.71,212534,1119,110,RENAULT,LOGAN,SANTA FE,Autos particulares
4-3145481,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),415955,1.71,713130,1119,371,FORD,FIESTA,SANTA FE,Autos particulares
4-3144598,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),655681,1.71,1124128,1119,585,NISSAN,PICK-UP,SANTA FE,Autos particulares
4-3147465,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),396694,1.64,650342,1278,310,CHEVROLET,TRACKER,SANTA FE,Autos particulares
4-3147474,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),203600,1.71,349060,1119,181,PEUGEOT,207,SANTA FE,Autos particulares
4-3147520,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),214816,1.71,368289,1119,191,VOLKSWAGEN,UP,SANTA FE,Autos particulares
4-3147822,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),347815,1.71,596308,1119,310,TOYOTA,COROLLA,SANTA FE,Autos particulares
4-3151283,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),134000,1.64,219680,1278,104,RENAULT,KANGOO,SANTA FE,Autos particulares
4-3159431,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),148650,1.64,243697,1278,116,RENAULT,LOGAN,SANTA FE,Autos particulares
4-3153089,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),214876,1.58,338619,1416,151,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3152952,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),183000,1.64,300011,1278,143,FORD,KA,SANTA FE,Autos particulares
4-3152489,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),157000,1.64,257386,1278,122,TOYOTA,ETIOS,SANTA FE,Autos particulares
4-3166960,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),218181,1.58,343828,1416,154,PEUGEOT,208,SANTA FE,Autos particulares
4-3158717,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),449942,1.51,680656,1340,335,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3153865,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),26528,1.64,43490,1278,20,FIAT,SIENA,SANTA FE,Autos particulares
4-3154697,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),190400,1.64,312142,1278,148,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3158468,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),151600,1.64,248533,1278,118,FORD,KA,SANTA FE,Autos particulares
4-3156887,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),345454,1.71,592261,1119,308,PEUGEOT,PARTNER,SANTA FE,Autos particulares
4-3160944,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),198347,1.64,325171,1278,155,FORD,KA,SANTA FE,Autos particulares
4-3159957,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),292428,1.64,479407,1278,228,TOYOTA,COROLLA,SANTA FE,Autos particulares
4-3162802,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),264612,1.64,433806,1278,206,FORD,RANGER,SANTA FE,Autos particulares
4-3162696,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),446776,1.51,675868,1340,333,RENAULT,KANGOO,SANTA FE,Autos particulares
4-3163134,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),426446,1.58,672029,1416,301,FORD,FOCUS,SANTA FE,Autos particulares
4-3164726,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),30600,1.51,46290,1340,22,VOLKSWAGEN,GOL,SANTA FE,Autos particulares
4-3168576,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),138600,1.58,218417,1416,97,RENAULT,CLIO,SANTA FE,Autos particulares
4-3168579,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),304132,1.51,460080,1340,226,PEUGEOT,PARTNER,SANTA FE,Autos particulares
4-3169296,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),341666,1.58,538425,1416,241,FORD,FOCUS,SANTA FE,Autos particulares
4-3168453,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),410723,1.58,647250,1416,290,FIAT,PULSE,SANTA FE,Autos particulares
4-3167728,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),407121,1.46,595228,1243,327,CITROEN,C 4,SANTA FE,Autos particulares
4-3168100,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),133000,1.58,209592,1416,93,FORD,KA,SANTA FE,Autos particulares
4-3173743,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),161543,1.51,244376,1340,120,PEUGEOT,207,SANTA FE,Autos particulares
4-3171644,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),220280,1.58,347136,1416,155,FIAT,PUNTO,SANTA FE,Autos particulares
4-3175044,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),167180,1.58,263455,1416,118,FIAT,UNO,SANTA FE,Autos particulares
4-3173178,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),378512,1.46,553401,1243,304,TOYOTA,COROLLA,SANTA FE,Autos particulares
