fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,var_precio_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom,var_instal_prom_%
2025-04-01,RENAULT,CABA,Custodia/Coleta,114335,122427,90,28957,31006,22,1.07,0.029998648709517628,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
2025-08-01,RENAULT,CABA,Custodia/Coleta,114335,114335,86,28957,28957,21,1.0,0.0,-0.06542056074766356,-6.54%,0.0%,0.0,0.0%
2023-12-01,ROVER,CABA,Custodia/Coleta,141285,367619,146,16962,44135,17,2.6,,,-,-,,-
2024-02-01,ROVER,CABA,Custodia/Coleta,148349,282609,137,18488,35221,17,1.91,0.04999823052694907,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,ROVER,CABA,Custodia/Coleta,155766,267309,155,20337,34901,20,1.72,0.04999696661251507,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,ROVER,CABA,Custodia/Coleta,163555,247559,146,22168,33554,19,1.51,0.050004493920367654,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
2024-07-01,ROVER,CABA,Custodia/Coleta,168461,234378,118,23719,33001,16,1.39,0.029996025801718007,-0.07947019867549676,-7.95%,3.0%,0.06996571634788884,7.0%
2024-10-01,ROVER,CABA,Custodia/Coleta,168461,211747,140,26566,33392,22,1.26,0.0,-0.09352517985611508,-9.35%,0.0%,0.1200303554112736,12.0%
2025-01-01,ROVER,CABA,Custodia/Coleta,168461,196933,138,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,ROVER,CABA,Custodia/Coleta,173515,185796,137,28957,31006,22,1.07,0.03000100913564574,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
2025-08-01,ROVER,CABA,Custodia/Coleta,173515,173515,130,28957,28957,21,1.0,0.0,-0.06542056074766356,-6.54%,0.0%,0.0,0.0%
2023-12-01,SUZUKI,CABA,Custodia/Coleta,62057,161472,64,16962,44135,17,2.6,,,-,-,,-
2024-02-01,SUZUKI,CABA,Custodia/Coleta,65160,124132,60,18488,35221,17,1.91,0.05000241713263609,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,SUZUKI,CABA,Custodia/Coleta,68418,117412,68,20337,34901,20,1.72,0.050000000000000044,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,SUZUKI,CABA,Custodia/Coleta,71839,108737,64,22168,33554,19,1.51,0.05000146160367147,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
2024-07-01,SUZUKI,CABA,Custodia/Coleta,73994,102947,52,23719,33001,16,1.39,0.029997633597349527,-0.07947019867549676,-7.95%,3.0%,0.06996571634788884,7.0%
2024-10-01,SUZUKI,CABA,Custodia/Coleta,73994,93007,61,26566,33392,22,1.26,0.0,-0.09352517985611508,-9.35%,0.0%,0.1200303554112736,12.0%
2025-01-01,SUZUKI,CABA,Custodia/Coleta,73994,86500,60,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,SUZUKI,CABA,Custodia/Coleta,76214,81608,60,28957,31006,22,1.07,0.030002432629672615,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
