fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,ipc_empalme_ipim,var_precio_prom,var_instal_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom_%,tipo_cristal
2025-01-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,49166,61528,40,26566,33245,21,1.251424313,7864,0.057378811991913636,0.0,0.07522216915167435,7.52%,5.74%,0.0%,Cristales laterales y de techo
2025-04-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,48025,55050,37,28957,33192,22,1.146262248,8585,-0.023207094333482448,0.09000225852593546,0.09174345979744447,9.17%,-2.32%,9.0%,Cristales laterales y de techo
2025-08-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,48025,51411,37,28957,30998,22,1.070498944,9193,0.0,0.0,0.07077382453924819,7.08%,0.0%,0.0%,Cristales laterales y de techo
2025-11-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,50907,50907,34,31853,31853,21,1.0,9841,0.060010411244143747,0.10001036018924614,0.07049894389293976,7.05%,6.0%,10.0%,Cristales laterales y de techo
2023-12-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,129746,361395,134,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,136233,277825,125,18488,37704,17,2.039326613,4825,0.0499976877899897,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,143045,262784,142,20337,37361,20,1.837070643,5357,0.05000256912789114,0.1000108178277801,0.11009700156540236,11.01%,5.0%,10.0%,Cristales laterales y de techo
2024-05-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,150197,243368,134,22168,35919,19,1.620318976,6073,0.04999825229822785,0.09003294487879243,0.13377098612570282,13.38%,5.0%,9.0%,Cristales laterales y de techo
2024-07-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,154703,230410,109,23719,35327,16,1.48936646,6607,0.03000059921303344,0.06996571634788884,0.08792497970558877,8.79%,3.0%,7.0%,Cristales laterales y de techo
2024-10-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,154703,208162,128,26566,35746,22,1.345559164,7313,0.0,0.1200303554112736,0.10687549081586467,10.69%,0.0%,12.0%,Cristales laterales y de techo
2025-01-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,154703,193599,127,26566,33245,21,1.251424313,7864,0.0,0.0,0.07522216915167435,7.52%,0.0%,0.0%,Cristales laterales y de techo
2025-04-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,159344,182650,126,28957,33192,22,1.146262248,8585,0.029999418240111764,0.09000225852593546,0.09174345979744447,9.17%,3.0%,9.0%,Cristales laterales y de techo
2025-08-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,159344,170578,124,28957,30998,22,1.070498944,9193,0.0,0.0,0.07077382453924819,7.08%,0.0%,0.0%,Cristales laterales y de techo
2025-11-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,168905,168905,115,31853,31853,21,1.0,9841,0.06000225926297831,0.10001036018924614,0.07049894389293976,7.05%,6.0%,10.0%,Cristales laterales y de techo
