coverable,provincia,pagos_2022,pagos_2023,pagos_2024,pagos_2025,cant_stros_2022,cant_stros_2023,cant_stros_2024,cant_stros_2025,coste_medio_2022,coste_medio_2023,coste_medio_2024,coste_medio_2025,var_cm_2022_2023,var_cm_2023_2024,var_cm_2024_2025
MOT,la_rioja,0,0,0,0,2,0,0,0,0,0,0,0,,,
MOT,mendoza,4.821.453,8.642.516,19.137.044,16.144.638,106,147,212,186,473.472,606.349,1.171.525,1.315.728,"128,06%","93,21%","12,31%"
MOT,misiones,102.179,797.340,1.889.911,309.910,63,89,86,77,21.281,289.088,471.624,262.979,"1358,45%","63,14%","-44,24%"
MOT,neuquen,176.910,916.828,2.457.561,2.043.698,29,32,45,37,48.007,408.364,693.117,677.158,"850,64%","69,73%","-2,30%"
MOT,rio_negro,131.235,787.316,2.797.644,379.650,55,57,54,49,23.073,132.665,708.193,875.952,"574,98%","433,82%","23,69%"
MOT,salta,0,143.648,472.456,303.571,8,15,13,5,0,95.608,230.509,118.571,,"141,10%","-48,56%"
MOT,san_juan,0,109.965,93.971,0,4,10,9,1,0,86.593,241.558,20.857,,"178,96%","-91,37%"
MOT,san_luis,158.141,487.197,1.165.314,572.754,72,65,90,45,24.273,137.197,251.334,259.358,"565,22%","83,19%","3,19%"
MOT,santa_cruz,28.819,24.500,908.611,400.596,16,18,21,23,8.981,38.667,409.015,417.951,"430,53%","957,80%","2,18%"
MOT,santa_fe,8.583.941,20.338.379,49.085.750,39.241.894,1.081,1.146,1.202,844,117.085,263.490,633.797,684.613,"225,04%","140,54%","8,02%"
MOT,santiago_del_estero,219.335,662.173,326.804,770.037,48,40,29,23,542.965,120.245,151.234,637.220,"22,15%","25,77%","321,35%"
MOT,tierra_del_fuego,39.650,536.931,404.371,277.857,6,4,19,8,39.488,365.348,160.914,262.812,"925,22%","-55,96%","63,32%"
MOT,tucuman,131.672,415.593,408.497,6.429,15,16,22,8,89.357,147.714,392.326,122.571,"165,31%","165,60%","-68,76%"
TRP,buenos_aires,5.654.267,13.041.846,30.891.740,15.218.658,830,767,632,340,215.409,304.037,912.470,829.913,"141,14%","200,12%","-9,05%"
TRP,capital_federal,4.214.326,7.141.232,21.653.341,6.063.240,581,379,359,271,135.172,317.327,833.024,586.820,"234,76%","162,51%","-29,56%"
TRP,catamarca,0,13.464,0,0,0,2,0,0,0,6.732,0,0,,,
TRP,chaco,552.578,2.625.327,2.690.839,1.925.338,66,69,57,29,292.867,352.477,524.498,583.438,"120,35%","48,80%","11,24%"
TRP,chubut,737.976,1.927.535,10.759.045,11.853.867,117,120,361,224,70.307,346.796,406.349,770.325,"493,26%","17,17%","89,57%"
TRP,cordoba,991.242,3.295.094,4.647.380,2.323.443,120,96,90,61,107.708,415.223,616.081,594.364,"385,51%","48,37%","-3,52%"
TRP,corrientes,242.096,627.103,533.845,0,65,49,9,1,45.599,153.612,222.817,20.857,"336,88%","45,05%","-90,64%"
TRP,entre_rios,91.429,41.009,314.507,1.847.928,33,15,18,19,30.708,20.989,350.780,750.205,"68,35%","1571,26%","113,87%"
TRP,formosa,0,27.920,20.317,0,1,2,1,0,0,13.960,20.317,0,,"45,54%",
TRP,jujuy,0,0,0,0,2,1,0,0,0,0,0,0,,,
TRP,la_pampa,140.654,825.121,294.539,-190.571,12,15,8,4,50.547,265.509,336.981,125.295,"525,28%","26,92%","-62,82%"
TRP,la_rioja,0,0,0,0,0,0,0,0,,0,0,0,,,
TRP,mendoza,8.474.990,12.877.902,11.901.642,6.453.517,224,296,294,174,834.449,794.423,784.174,523.946,"95,20%","-1,29%","-33,18%"
TRP,misiones,39.877,514.529,1.403.908,3.518,23,33,24,13,15.757,302.946,410.977,295.104,"1922,56%","35,66%","-28,19%"
TRP,neuquen,1.303.953,1.994.005,4.419.175,2.953.057,148,121,93,43,232.853,175.699,866.870,641.882,"75,46%","393,38%","-25,95%"
TRP,rio_negro,2.072.054,3.457.844,6.119.143,7.749.686,363,312,229,137,151.362,157.973,585.729,682.920,"104,37%","270,78%","16,59%"
TRP,salta,128.717,1.226.442,154.688,375.498,20,17,10,30,43.650,312.088,98.876,431.031,"714,97%","-68,32%","335,93%"
TRP,san_juan,27.530,63.486,15.152,0,6,13,6,2,20.306,38.150,13.701,14.286,"187,88%","-64,09%","4,27%"
TRP,san_luis,15.342,28.849,9.540,73.043,4,4,6,2,15.342,20.516,317.149,104.488,"133,73%","1445,87%","-67,05%"
