nro_siniestro_gw,nro_situacion,id._publico_exposicion,codigo_plan_cobertura,plan_cobertura,nombre_exposicion,cobertura_principal,codigo_tipo_transaccion,usuario_creador,monto_transaccion,fecha_pago,tipo_vehiculo,grupo_tipo_vehiculo_alternativo,marca_vehiculo,modelo_vehiculo,año_mes_fecha_pago,usd_blue,ipc_factor,pago_ipc,pago_usd
4-3430040,1,cc:850384,0,PLAN SELECTO L2 (EX L200),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,GRFERNAN,25125000.0,2026-03-09,P GII +1000Kg,PICK UPS,FIAT,TORO,2026-03-01,1411.1904761904761,1.0,25125000.0,17804.116753838367
4-3430077,1,cc:839372,0,PLAN SELECTO L2 (EX L200),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,DMOGGI,9549000.0,2026-03-10,AUT/FAM/M.VAN,AUTOS PARTICULARES,CHEVROLET,AGILE,2026-03-01,1411.1904761904761,1.0,9549000.0,6766.627298802092
4-3430163,1,cc:839717,0,PLAN SELECTO L2 (EX L200),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,ESEGOVIA,10305430.0,2026-03-13,AUT/FAM/M.VAN,AUTOS PARTICULARES,FIAT,PUNTO,2026-03-01,1411.1904761904761,1.0,10305430.0,7302.64990720432
4-3430196,1,cc:839834,0,PLAN SELECTO L2 (EX L200),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MDSALVAT,9460000.0,2026-03-17,AUT/FAM/M.VAN,AUTOS PARTICULARES,RENAULT,CLIO,2026-03-01,1411.1904761904761,1.0,9460000.0,6703.55997975367
4-3430242,1,cc:839872,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,FLIBERAT,9912000.0,2026-02-26,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,GOL,2026-02-01,1441.6,1.033826222,10247285.512464,6875.693673695894
4-3430242,1,cc:839872,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,MFERRARI,9912000.0,2026-02-26,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,GOL,2026-02-01,1441.6,1.033826222,10247285.512464,6875.693673695894
4-3430298,1,cc:852005,30,PLAN PRIVILEGIO L2 (EX 30),(3) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MVIVIANO,18000000.01,2026-03-10,AUT/FAM/M.VAN,AUTOS PARTICULARES,ALFA ROMEO,MITO,2026-03-01,1411.1904761904761,1.0,18000000.01,12755.188129239077
4-3430343,1,cc:840009,30,PLAN PRIVILEGIO L2 (EX 30),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MFERES,30364000.0,2026-02-26,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,GOLF,2026-02-01,1441.6,1.033826222,31391099.404808003,21062.70810210877
4-3430353,1,cc:849367,0,PLAN SELECTO L2 (EX L200),(3) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MDSALVAT,17225000.0,2026-03-18,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,VENTO,2026-03-01,1411.1904761904761,1.0,17225000.0,12206.006411337945
4-3430462,1,cc:848870,34,PLAN IGNIS L2 (EX 34),(2) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,FLIBERAT,5900000.01,2026-03-12,AUT/FAM/M.VAN,AUTOS PARTICULARES,RENAULT,R 19,2026-03-01,1411.1904761904761,1.0,5900000.01,4180.867224902986
4-3430536,1,cc:848738,29,"29 - R.C., ACC TOT, INC Y ROBO TOT/PAR",(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,YPIZARRO,17588994.0,2026-03-09,P GI H/1000Kg,PICK UPS,RENAULT,KANGOO,2026-03-01,1411.1904761904761,1.0,17588994.0,12463.940408300996
4-3430536,1,cc:848738,29,"29 - R.C., ACC TOT, INC Y ROBO TOT/PAR",(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,GRFERNAN,17588994.0,2026-03-09,P GI H/1000Kg,PICK UPS,RENAULT,KANGOO,2026-03-01,1411.1904761904761,1.0,17588994.0,12463.940408300996
4-3430561,1,cc:840282,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,ESEGOVIA,16663160.0,2026-02-23,JEEP/CAM.FAM,JEEPS,FORD,KUGA,2026-02-01,1441.6,1.033826222,17226811.74938152,11558.795782463929
