fecha,marca,zona,tipo_cristal,precio_usd,instalacion_usd
2024-02-01,VOLKSWAGEN,CABA,Aleta/Ventilete,36.1,17.1
2024-02-01,VOLKSWAGEN,CABA,Custodia/Coleta,46.8,17.1
2024-02-01,VOLKSWAGEN,CABA,Luneta,120.4,27.9
2024-02-01,VOLKSWAGEN,CABA,Parabrisas,168.4,39.1
2024-02-01,VOLKSWAGEN,CABA,Puerta,47.1,11.4
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,34.0,18.7
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,44.1,18.7
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Luneta,113.5,30.5
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Parabrisas,158.8,42.7
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Puerta,44.4,12.5
2024-02-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,32.0,18.7
2024-02-01,VOLKSWAGEN,Rosario,Custodia/Coleta,41.5,18.7
2024-02-01,VOLKSWAGEN,Rosario,Luneta,106.6,30.5
2024-02-01,VOLKSWAGEN,Rosario,Parabrisas,149.2,42.7
2024-02-01,VOLKSWAGEN,Rosario,Puerta,41.7,12.5
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,61.9,33.5
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,80.2,33.5
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Luneta,206.4,54.6
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Parabrisas,288.7,76.7
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Puerta,80.7,22.3
2024-03-01,CHEVROLET,CABA,Aleta/Ventilete,40.4,20.3
2024-03-01,CHEVROLET,CABA,Custodia/Coleta,104.9,20.3
2024-03-01,CHEVROLET,CABA,Luneta,117.6,33.3
2024-03-01,CHEVROLET,CABA,Parabrisas,176.1,46.2
2024-03-01,CHEVROLET,CABA,Puerta,56.7,14.5
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,38.1,22.2
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,98.9,22.2
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Luneta,110.9,36.4
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,166.0,50.5
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Puerta,53.5,15.9
2024-03-01,CHEVROLET,Rosario,Aleta/Ventilete,35.8,22.2
2024-03-01,CHEVROLET,Rosario,Custodia/Coleta,92.9,22.2
2024-03-01,CHEVROLET,Rosario,Luneta,104.2,36.4
2024-03-01,CHEVROLET,Rosario,Parabrisas,156.0,50.5
