año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tipo_repuesto
2025,2025-05-01,947,1097,1.16,531383,"-2,29%",582927705,1.035513955,603629773,550255,"-3,73%",1162,501597,457,"6,27%",Capot
2025,2025-06-01,846,991,1.17,523395,"-1,50%",518684691,1.019016838,528548434,533348,"-3,07%",1181,438878,442,"-3,15%",Capot
2025,2025-07-01,326,326,1.0,990151,"89,18%",322789316,1.039906945643565,335670851,1029665,"42,10%",1282,251642,771,"33,42%",Capot
2025,2025-08-01,278,278,1.0,795449,"-19,66%",221134909,1.0207596032395136,225725582,811962,"-21,14%",1329,166385,598,"-22,46%",Capot
2025,2025-09-01,302,302,1.0,755592,"-5,01%",228188817,1.0,228188817,755592,"-6,94%",1406,162198,537,"-10,26%",Capot
2023,2023-01-01,717,909,1.27,106222,-,96556213,7.501355385,724302468,796812,-,366,263683,290,-,Optica
2023,2023-02-01,565,692,1.22,112086,"5,52%",77564072,7.03508925,545670172,788540,"-1,04%",375,206319,298,"2,78%",Optica
2023,2023-03-01,786,1010,1.28,118479,"5,70%",119663905,6.533618369,781838292,774097,"-1,83%",380,314742,311,"4,52%",Optica
2023,2023-04-01,718,924,1.29,111830,"-5,61%",103331126,6.027173658,622794643,674020,"-12,93%",419,246147,266,"-14,52%",Optica
2023,2023-05-01,793,1007,1.27,132168,"18,19%",133094150,5.592483714,744326867,739152,"9,66%",477,278598,276,"3,85%",Optica
2023,2023-06-01,833,1063,1.28,180108,"36,27%",191455274,5.278376403,1010573001,950680,"28,62%",487,392378,369,"33,42%",Optica
2023,2023-07-01,760,983,1.29,160004,"-11,16%",157284804,4.96345273,780675694,794176,"-16,46%",516,304478,309,"-16,09%",Optica
2023,2023-08-01,854,1084,1.27,202625,"26,64%",219646063,4.414247987,969572191,894439,"12,62%",646,339516,313,"1,12%",Optica
2023,2023-09-01,768,957,1.25,203800,"0,58%",195037266,3.915084496,763587376,797896,"-10,79%",733,265763,277,"-11,34%",Optica
2023,2023-10-01,724,919,1.27,231289,"13,49%",212554679,3.61497841,768380576,836105,"4,79%",912,232868,253,"-8,75%",Optica
2023,2023-11-01,824,1035,1.26,310544,"34,27%",321413285,3.204464403,1029957433,995127,"19,02%",931,344956,333,"31,53%",Optica
2023,2023-12-01,621,776,1.25,344383,"10,90%",267241218,2.55405664,682549208,879573,"-11,61%",965,276782,356,"7,02%",Optica
2024,2024-01-01,770,969,1.26,419651,"21,86%",406642024,2.117541803,861081484,888628,"1,03%",1141,356141,367,"3,04%",Optica
2024,2024-02-01,656,844,1.29,522423,"24,49%",440925611,1.86994804,824507983,976905,"9,93%",1081,407753,483,"31,45%",Optica
2024,2024-03-01,615,782,1.27,523649,"0,23%",409493683,1.684490668,689788288,882082,"-9,71%",1001,408837,522,"8,22%",Optica
2024,2024-04-01,701,895,1.28,533269,"1,84%",477275905,1.547790994,738723348,825389,"-6,43%",1004,475019,530,"1,52%",Optica
2024,2024-05-01,732,897,1.23,555210,"4,11%",498024206,1.485741555,739935259,824899,"-0,06%",1119,444829,495,"-6,56%",Optica
2024,2024-06-01,596,756,1.27,540803,"-2,59%",408847577,1.420714517,580855688,768327,"-6,86%",1278,319759,422,"-14,71%",Optica
2024,2024-07-01,791,987,1.25,551647,"2,01%",544476148,1.365665449,743572264,753366,"-1,95%",1416,384510,389,"-7,89%",Optica
2024,2024-08-01,732,946,1.29,552082,"0,08%",522269584,1.31096827,684678853,723762,"-3,93%",1340,389555,411,"5,70%",Optica
2024,2024-09-01,687,867,1.26,565210,"2,38%",490037144,1.267012954,620883410,716128,"-1,05%",1243,394152,454,"10,40%",Optica
2024,2024-10-01,651,821,1.26,595595,"5,38%",488983597,1.23380223,603309053,734846,"2,61%",1201,407147,495,"9,08%",Optica
2024,2024-11-01,611,732,1.2,595535,"-0,01%",435931700,1.2045726,525111382,717365,"-2,38%",1124,387823,529,"6,84%",Optica
2024,2024-12-01,528,667,1.26,601998,"1,09%",401533006,1.172857318,470940925,706058,"-1,58%",1105,363312,544,"2,81%",Optica
2025,2025-01-01,703,875,1.24,619137,"2,85%",541744878,1.147485855,621644585,710450,"0,62%",1216,445226,508,"-6,58%",Optica
2025,2025-02-01,576,730,1.27,631712,"2,03%",461149958,1.120573846,516752582,707880,"-0,36%",1212,380258,520,"2,37%",Optica
2025,2025-03-01,600,756,1.26,610995,"-3,28%",461912608,1.080286346,498997883,660050,"-6,76%",1251,369009,488,"-6,30%",Optica
2025,2025-04-01,651,817,1.25,612801,"0,30%",500659182,1.051058144,526221910,644090,"-2,42%",1263,396125,484,"-0,67%",Optica
2025,2025-05-01,665,827,1.24,607514,"-0,86%",502414215,1.035513955,520256931,629089,"-2,33%",1162,432317,522,"7,82%",Optica
2025,2025-06-01,594,748,1.26,600914,"-1,09%",449484175,1.019016838,458031943,612342,"-2,66%",1181,380325,508,"-2,74%",Optica
2025,2025-07-01,1022,1022,1.0,645521,"7,42%",659723320,1.039906945643565,686050863,671282,"2,64%",1282,514312,503,"-3,64%",Optica
2025,2025-08-01,831,831,1.0,682244,"5,69%",566945511,1.0207596032395136,578715075,696408,"3,74%",1329,426580,513,"2,01%",Optica
