año,AUT,marca,modelo,Codigo Modelo La Segunda,prima_dev_hist,prima_dev_ipc,ar_t,ns_t,ns_t_nro_sin,is_t,is_t_ipc
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1729-48 RECOLECTOR,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2730-K36 6X4 CAB EXT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2426-54 CD TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1718-54,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 1732-S36 CD TE AUT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 2432-48 CE AUT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2425-48 6X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-54,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2730-48 6X4 CAB EXT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2730-B36 6X4 CAB EXT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-42 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1315-48 HL,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 2430-48 CE AUT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1721-36,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1721-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1418-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERCEDES BENZ ATEGO 12007,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M.BENZ CAMION AUTOBOMBA,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M.BENZ CAMION ATEGO 1729-S36 CD TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 1732-42 CD TECHO E,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 2430-54 CD TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-48 RECOLECTOR,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-48 RECOLECTOR,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2426-48 CAB EXT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1720-48 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-42,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-54 FE III,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-S36 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-48 TE CAB DOR,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-S36,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2426-48 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2426-48 CAB DOR TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1418-36,42427,56404,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERCEDES BENZ ATEGO 1528,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1721-48 CN AT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 2432-48 CD TB AUT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 3344-48 6X4 CAB EX,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-42 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-42 CD TECHO ELEVADO,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 3132-48 6X4 CE AUT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 1726-36 CE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 2430-48 CD TB AUT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 1729-S36 CD TB,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 2426-54 CAB EXT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ ATEGO 1823,0,0,0,0,0,0,0
